date,index_name,open,high,low,close,volume
2020-01-02,沪深300,4121.349,4172.656,4121.349,4152.241,18211677200
2020-01-03,沪深300,4161.219,4164.299,4131.864,4144.965,14282624400
2020-01-06,沪深300,4120.521,4170.638,4102.38,4129.295,17530995300
2020-01-07,沪深300,4137.402,4161.25,4135.097,4160.227,13948903100
2020-01-08,沪深300,4139.632,4149.813,4101.98,4112.317,16758585000
2020-01-09,沪深300,4145.535,4165.657,4143.592,4164.37,13688632400
2020-01-10,沪深300,4177.578,4180.977,4148.482,4163.185,11303171900
2020-01-13,沪深300,4166.925,4203.988,4148.601,4203.988,11969198200
2020-01-14,沪深300,4215.158,4223.508,4188.081,4189.886,12932078300
2020-01-15,沪深300,4186.881,4193.869,4150.88,4166.734,10463313600
2020-01-16,沪深300,4174.817,4175.294,4142.18,4149.043,10026764200
2020-01-17,沪深300,4162.194,4177.028,4141.645,4154.853,9872568200
2020-01-20,沪深300,4170.737,4185.963,4149.488,4185.83,12240914700
2020-01-21,沪深300,4165.02,4165.02,4113.325,4114.309,13052750700
2020-01-22,沪深300,4093.801,4141.177,4046.487,4131.931,12675876300
2020-01-23,沪深300,4093.323,4103.524,3972.393,4003.901,16035760300
2020-02-03,沪深300,3639.909,3732.157,3639.909,3688.358,15755964700
2020-02-04,沪深300,3652.004,3786.863,3652.004,3785.638,21393332800
2020-02-05,沪深300,3801.099,3866.011,3781.613,3828.527,17492552400
2020-02-06,沪深300,3841.754,3914.915,3806.96,3899.775,17646223500
2020-02-07,沪深300,3879.553,3899.884,3849.713,3899.869,15173175900
2020-02-10,沪深300,3872.374,3920.167,3861.007,3916.005,14840696900
2020-02-11,沪深300,3926.42,3970.522,3915.708,3952.464,14344167400
2020-02-12,沪深300,3945.666,3984.433,3940.667,3984.433,12671032100
2020-02-13,沪深300,3985.876,3999.55,3950.142,3959.919,14500184300
2020-02-14,沪深300,3954.234,4001.563,3954.023,3987.734,14323980300
2020-02-17,沪深300,3999.651,4077.446,3999.651,4077.424,18277896900
2020-02-18,沪深300,4069.832,4076.388,4027.786,4057.511,16323622000
2020-02-19,沪深300,4049.586,4085.17,4042.845,4051.311,16904644100
2020-02-20,沪深300,4062.897,4148.529,4055.811,4144.656,21223262400
2020-02-21,沪深300,4134.875,4184.438,4130.168,4149.49,21721360400
2020-02-24,沪深300,4131.836,4149.01,4097.175,4132.839,21286930300
2020-02-25,沪深300,4066.302,4126.708,4020.908,4123.854,24416783100
2020-02-26,沪深300,4070.099,4132.782,4061.125,4073.015,26109406100
2020-02-27,沪深300,4084.078,4110.528,4067.441,4084.876,18129098100
2020-02-28,沪深300,3988.727,4031.145,3928.066,3940.049,23027509300
2020-03-02,沪深300,3968.844,4092.539,3968.844,4069.666,21931355900
2020-03-03,沪深300,4125.136,4147.653,4067.909,4091.362,21936977700
2020-03-04,沪深300,4078.5,4115.262,4060.729,4115.052,18242473000
2020-03-05,沪深300,4150.21,4215.851,4127.039,4206.725,23182311500
2020-03-06,沪深300,4158.202,4181.31,4135.39,4138.507,17247571700
2020-03-09,沪深300,4063.076,4063.076,3995.131,3997.133,20810203500
2020-03-10,沪深300,3975.229,4093.002,3954.751,4082.732,19741640200
2020-03-11,沪深300,4090.935,4091.27,4028.396,4028.429,16165611100
2020-03-12,沪深300,3976.114,3987.434,3926.27,3950.911,15706045800
2020-03-13,沪深300,3771.014,3937.181,3765.148,3895.313,18829672200
2020-03-16,沪深300,3899.86,3899.86,3720.513,3727.84,18596826000
2020-03-17,沪深300,3739.783,3786.891,3618.307,3709.682,16624612900
2020-03-18,沪深300,3729.685,3775.851,3636.257,3636.257,15503754700
2020-03-19,沪深300,3623.789,3647.987,3503.187,3589.093,18080740700
2020-03-20,沪深300,3629.513,3663.952,3588.777,3653.224,13960300000
2020-03-23,沪深300,3542.684,3585.801,3523.788,3530.306,13710879000
2020-03-24,沪深300,3598.655,3627.759,3545.452,3625.115,14310302100
2020-03-25,沪深300,3711.475,3732.654,3685.994,3722.518,15349595800
2020-03-26,沪深300,3692.608,3736.254,3681.267,3698.047,11231066500
2020-03-27,沪深300,3746.391,3758.783,3709.921,3710.061,12406099500
2020-03-30,沪深300,3657.462,3690.639,3637.585,3674.111,12687667300
2020-03-31,沪深300,3708.14,3716.071,3676.202,3686.155,11145302500
2020-04-01,沪深300,3682.297,3731.78,3670.965,3675.076,11935262000
2020-04-02,沪深300,3656.323,3734.531,3652.317,3734.531,11516820900
2020-04-03,沪深300,3721.482,3738.832,3698.982,3713.218,9982508300
2020-04-07,沪深300,3779.908,3803.629,3772.205,3798.021,14277803000
2020-04-08,沪深300,3776.417,3793.002,3767.292,3780.345,11138951300
2020-04-09,沪深300,3798.488,3801.725,3785.312,3792.811,10048503200
2020-04-10,沪深300,3794.843,3824.744,3758.96,3769.178,10244495600
2020-04-13,沪深300,3751.709,3769.876,3740.194,3753.257,7905334300
2020-04-14,沪深300,3777.834,3825.76,3764.984,3825.699,11063758500
2020-04-15,沪深300,3820.851,3829.801,3793.44,3797.362,10846198400
2020-04-16,沪深300,3777.799,3807.357,3774.559,3802.381,9594796500
2020-04-17,沪深300,3831.923,3863.452,3821.42,3839.487,13200430100
2020-04-20,沪深300,3845.46,3853.798,3831.553,3853.455,10001311500
2020-04-21,沪深300,3838.231,3838.231,3779.997,3808.047,10292188800
2020-04-22,沪深300,3789.13,3839.383,3782.215,3839.383,8589946400
2020-04-23,沪深300,3851.913,3857.471,3826.557,3829.753,9550845000
2020-04-24,沪深300,3826.312,3827.212,3787.071,3796.972,9484413500
2020-04-27,沪深300,3808.017,3842.871,3793.766,3822.769,9546273500
2020-04-28,沪深300,3835.348,3859.675,3768.2,3849.147,12209347600
2020-04-29,沪深300,3837.514,3880.744,3833.716,3867.032,9585459000
2020-04-30,沪深300,3880.409,3921.7,3880.409,3912.577,13291712500
2020-05-06,沪深300,3867.259,3937.691,3865.988,3936.254,13985567500
2020-05-07,沪深300,3937.592,3941.483,3915.905,3924.895,10551464600
2020-05-08,沪深300,3942.997,3979.663,3935.981,3963.622,11694334100
2020-05-11,沪深300,3974.761,3998.097,3944.504,3960.18,12267380300
2020-05-12,沪深300,3961.343,3970.112,3930.211,3960.238,9825055400
2020-05-13,沪深300,3946.643,3972.525,3932.571,3968.253,8819066900
2020-05-14,沪深300,3952.199,3952.199,3924.045,3925.218,8853000400
2020-05-15,沪深300,3941.125,3945.196,3907.402,3912.816,9261838200
2020-05-18,沪深300,3914.66,3946.431,3898.404,3922.912,11280176200
2020-05-19,沪深300,3963.775,3966.852,3944.072,3956.25,9401529100
2020-05-20,沪深300,3955.715,3955.715,3923.921,3935.222,10079115000
2020-05-21,沪深300,3950.598,3951.743,3907.579,3913.795,9486103300
2020-05-22,沪深300,3907.576,3907.576,3818.149,3824.064,10337836000
2020-05-25,沪深300,3828.321,3835.633,3800.18,3829.325,7903332600
2020-05-26,沪深300,3850.001,3874.748,3844.478,3872.77,7744807600
2020-05-27,沪深300,3873.698,3873.698,3838.425,3845.614,8371183100
2020-05-28,沪深300,3848.489,3885.421,3818.432,3856.632,9306405400
2020-05-29,沪深300,3838.377,3872.303,3830.419,3867.023,9381383200
2020-06-01,沪深300,3901.726,3976.315,3901.726,3971.34,13645665200
2020-06-02,沪深300,3969.952,3991.776,3958.977,3983.568,14430306000
2020-06-03,沪深300,4001.171,4018.676,3982.93,3983.648,13659748300
2020-06-04,沪深300,3998.164,3999.805,3968.572,3982.185,10427773700
2020-06-05,沪深300,3988.224,4001.251,3967.926,4001.251,10244394200
2020-06-08,沪深300,4023.606,4050.221,4016.102,4021.955,13792581300
2020-06-09,沪深300,4027.561,4052.156,4016.339,4047.029,11530447900
2020-06-10,沪深300,4046.232,4046.232,4024.419,4039.705,11226572800
2020-06-11,沪深300,4031.74,4043.012,3979.752,3995.885,12730894100
2020-06-12,沪深300,3931.624,4011.059,3927.249,4003.083,13416664900
2020-06-15,沪深300,3982.967,4007.14,3954.988,3954.988,13129786000
2020-06-16,沪深300,3995.579,4014.57,3987.864,4014.57,11105153900
2020-06-17,沪深300,4018.609,4018.609,3992.134,4017.594,10560579900
2020-06-18,沪深300,4009.783,4047.557,4000.901,4044.384,13814876100
2020-06-19,沪深300,4047.048,4109.36,4043.493,4098.71,15294699000
2020-06-22,沪深300,4097.507,4126.942,4088.782,4102.046,15582946500
2020-06-23,沪深300,4098.037,4124.725,4080.753,4121.794,12922951000
2020-06-24,沪深300,4128.1,4144.678,4123.358,4138.99,12171246500
2020-06-29,沪深300,4127.935,4137.37,4092.535,4109.716,13086585400
2020-06-30,沪深300,4130.003,4174.424,4129.775,4163.964,12593352100
2020-07-01,沪深300,4172.643,4247.784,4163.495,4247.784,16999045600
2020-07-02,沪深300,4239.408,4340.104,4238.116,4335.845,25293936800
2020-07-03,沪深300,4353.194,4419.596,4348.454,4419.596,29048553900
2020-07-06,沪深300,4465.808,4678.112,4465.808,4670.095,40582102500
2020-07-07,沪深300,4739.61,4796.316,4688.057,4698.126,40600855300
2020-07-08,沪深300,4692.862,4803.364,4670.65,4774.004,34807484700
2020-07-09,沪深300,4770.077,4854.12,4757.294,4840.771,35104689300
2020-07-10,沪深300,4796.087,4821.375,4734.473,4753.133,31694965100
2020-07-13,沪深300,4742.374,4878.077,4741.874,4852.961,32164544600
2020-07-14,沪深300,4836.166,4860.44,4729.926,4806.69,29724198500
2020-07-15,沪深300,4821.516,4837.476,4723.361,4744.469,27238900600
2020-07-16,沪深300,4741.53,4772.564,4513.654,4516.253,28465713300
2020-07-17,沪深300,4524.772,4601.373,4485.821,4544.701,20737556300
2020-07-20,沪深300,4597.204,4681.943,4534.231,4680.305,24606891400
2020-07-21,沪深300,4697.503,4714.293,4661.444,4691.043,20041565900
2020-07-22,沪深300,4682.658,4790.449,4675.349,4714.445,22419921100
2020-07-23,沪深300,4668.74,4731.4,4607.659,4712.436,23431456900
2020-07-24,沪深300,4679.027,4691.698,4479.393,4505.591,24390520300
2020-07-27,沪深300,4535.005,4558.119,4482.441,4528.45,17142055100
2020-07-28,沪深300,4567.669,4590.25,4537.685,4568.258,16276849800
2020-07-29,沪深300,4559.163,4680.558,4548.854,4679.008,18669530500
2020-07-30,沪深300,4689.763,4704.631,4649.768,4656.151,16696756600
2020-07-31,沪深300,4652.182,4741.808,4621.964,4695.046,18483902600
2020-08-03,沪深300,4735.899,4771.369,4720.025,4771.311,21477623900
2020-08-04,沪深300,4778.487,4807.078,4747.775,4775.802,23997498500
2020-08-05,沪深300,4761.764,4786.703,4711.272,4777.109,19670054800
2020-08-06,沪深300,4779.238,4791.857,4691.157,4762.764,22785440600
2020-08-07,沪深300,4742.294,4749.022,4637.843,4707.926,21351821600
2020-08-10,沪深300,4681.755,4757.663,4646.289,4724.87,20378883200
2020-08-11,沪深300,4730.375,4791.534,4674.864,4681.784,20554651100
2020-08-12,沪深300,4668.89,4681.621,4566.274,4647.645,20288723900
2020-08-13,沪深300,4666.49,4671.769,4626.103,4635.713,15255009200
2020-08-14,沪深300,4627.61,4708.071,4617.632,4704.629,14729292100
2020-08-17,沪深300,4727.12,4838.086,4721.359,4815.226,26800155600
2020-08-18,沪深300,4816.57,4825.386,4788.829,4812.756,18913985400
2020-08-19,沪深300,4804.666,4809.05,4738.009,4740.678,19244294800
2020-08-20,沪深300,4708.125,4721.436,4662.803,4679.154,15836863900
2020-08-21,沪深300,4717.787,4739.484,4684.81,4718.843,14265786400
2020-08-24,沪深300,4746.404,4769.467,4716.605,4755.849,15114351200
2020-08-25,沪深300,4769.211,4802.412,4746.313,4761.951,14170135100
2020-08-26,沪深300,4761.719,4786.425,4689.881,4706.13,15130518000
2020-08-27,沪深300,4718.062,4731.935,4679.362,4731.345,11904285000
